y_true,y_pred,y_prob,auc
0,0,0.27005172,0.7902199074074074
1,1,0.59694207,0.7902199074074074
1,1,0.59248286,0.7902199074074074
1,1,0.6219816,0.7902199074074074
0,0,0.27001888,0.7902199074074074
0,0,0.2700211,0.7902199074074074
1,1,0.6094301,0.7902199074074074
1,1,0.59300333,0.7902199074074074
0,0,0.27006203,0.7902199074074074
0,0,0.27006683,0.7902199074074074
1,1,0.5933521,0.7902199074074074
1,1,0.62259996,0.7902199074074074
0,0,0.27003324,0.7902199074074074
1,1,0.628443,0.7902199074074074
1,1,0.6234318,0.7902199074074074
1,1,0.62801063,0.7902199074074074
1,1,0.5956329,0.7902199074074074
0,0,0.27004218,0.7902199074074074
0,0,0.27003863,0.7902199074074074
0,0,0.27008957,0.7902199074074074
0,0,0.27011287,0.7902199074074074
1,1,0.6126586,0.7902199074074074
1,1,0.59929323,0.7902199074074074
1,1,0.61050814,0.7902199074074074
1,1,0.6086995,0.7902199074074074
1,1,0.61021453,0.7902199074074074
1,1,0.5950851,0.7902199074074074
0,0,0.27008227,0.7902199074074074
1,1,0.6098025,0.7902199074074074
0,0,0.27004316,0.7902199074074074
0,0,0.27009866,0.7902199074074074
0,0,0.26996854,0.7902199074074074
1,1,0.6098011,0.7902199074074074
1,1,0.59431845,0.7902199074074074
0,0,0.27010736,0.7902199074074074
0,0,0.2699739,0.7902199074074074
0,0,0.270044,0.7902199074074074
0,0,0.27001047,0.7902199074074074
0,0,0.27004874,0.7902199074074074
0,0,0.2701451,0.7902199074074074
0,0,0.27002865,0.7902199074074074
1,1,0.6280361,0.7902199074074074
1,1,0.6082567,0.7902199074074074
0,0,0.27001125,0.7902199074074074
1,1,0.62860143,0.7902199074074074
0,0,0.2700274,0.7902199074074074
1,1,0.6252149,0.7902199074074074
1,1,0.62829334,0.7902199074074074
1,1,0.6085135,0.7902199074074074
0,0,0.2699939,0.7902199074074074
0,0,0.2700617,0.7902199074074074
0,0,0.2700399,0.7902199074074074
0,0,0.27007318,0.7902199074074074
0,0,0.27010095,0.7902199074074074
0,0,0.27001837,0.7902199074074074
0,0,0.2701696,0.7902199074074074
1,1,0.62381995,0.7902199074074074
0,0,0.2700541,0.7902199074074074
1,1,0.62297165,0.7902199074074074
0,0,0.27011198,0.7902199074074074
0,0,0.2699581,0.7902199074074074
1,0,0.45860273,0.7902199074074074
1,0,0.4979765,0.7902199074074074
0,1,0.509018,0.7902199074074074
1,0,0.47892684,0.7902199074074074
1,0,0.3829623,0.7902199074074074
0,0,0.47223085,0.7902199074074074
1,0,0.38855445,0.7902199074074074
1,0,0.49621883,0.7902199074074074
0,0,0.4807329,0.7902199074074074
1,0,0.41710776,0.7902199074074074
0,1,0.5037446,0.7902199074074074
0,0,0.4784899,0.7902199074074074
0,0,0.4948002,0.7902199074074074
1,0,0.3911464,0.7902199074074074
1,0,0.38689667,0.7902199074074074
1,0,0.4375789,0.7902199074074074
1,0,0.38772634,0.7902199074074074
1,1,0.5280402,0.7902199074074074
0,1,0.500503,0.7902199074074074
0,1,0.5206939,0.7902199074074074
1,0,0.38672283,0.7902199074074074
0,0,0.47441688,0.7902199074074074
1,1,0.5699846,0.7902199074074074
