model_type,params,avg_accuracy
FTIROnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6041666666666666
FTIROnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.5864583333333333
FTIROnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.61875
FTIROnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.5666666666666667
FTIROnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.5958333333333333
FTIROnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.5697916666666667
FTIROnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.58125
MZOnly,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.684375
MZOnly,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7000000000000001
MZOnly,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.703125
MZOnly,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6947916666666667
MZOnly,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7010416666666667
MZOnly,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.703125
MZOnly,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.68125
MZOnly,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.684375
MZOnly,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6968750000000001
MZOnly,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6989583333333333
MZOnly,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.703125
MZOnly,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.70625
MZOnly,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7124999999999999
MZOnly,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7083333333333333
MZOnly,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6979166666666667
MZOnly,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6729166666666667
MZOnly,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6739583333333333
MZOnly,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7072916666666667
MZOnly,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6541666666666667
MZOnly,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6833333333333333
MZOnly,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7
MZOnly,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6947916666666667
MZOnly,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7104166666666667
MZOnly,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7104166666666667
MZOnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7083333333333333
MZOnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.703125
MZOnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6697916666666666
MZOnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7083333333333334
MZOnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.70625
MZOnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7083333333333334
MZOnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.696875
MZOnly,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.703125
