wavenumber,benign_mean,benign_std,malignant_mean,malignant_std
1604.4342562424056,4.5363215602249764e-05,4.389381065874504e-05,4.149457550341879e-05,4.033612114839305e-05
1602.5058496844222,3.474075546642512e-05,3.2349457147819895e-05,2.9313808772364715e-05,2.5811424104011967e-05
1600.5774431264388,2.0101614832964234e-05,2.559976378722609e-05,1.405193956050665e-05,2.5605253310671145e-05
1598.6490365684554,-6.95055433636826e-07,2.584332133311196e-05,-6.061869517233036e-06,3.816058736950744e-05
1596.720630010472,-2.1336956649492628e-05,3.366798320231373e-05,-2.5640840656508176e-05,5.328830080754831e-05
1594.7922234524885,-3.8504541122060405e-05,4.408634407230456e-05,-4.1782805658914264e-05,6.735628331305419e-05
1592.8638168945051,-5.3756941910095444e-05,5.3569645190714536e-05,-5.527692616664771e-05,7.929921336344649e-05
1590.9354103365217,-6.798600695657791e-05,6.013024432760247e-05,-6.668458299896257e-05,8.787580255150406e-05
1589.0070037785383,-8.471160830729516e-05,6.579071230711893e-05,-7.991527218363239e-05,9.801194703035163e-05
1587.078597220555,-0.00010240593252083225,7.301784988329942e-05,-9.548610187492527e-05,0.00011128605786935631
1585.1501906625715,-0.00010501641937834436,7.306637385813497e-05,-9.86789979965715e-05,0.0001109494646608755
1583.221784104588,-9.450807896531627e-05,6.463895186736902e-05,-8.979782035016159e-05,9.799948344465465e-05
1581.2933775466047,-8.342269234281547e-05,5.541337879569196e-05,-8.081346658743003e-05,8.498343455808251e-05
1579.3649709886213,-7.01946763406031e-05,4.786591756835562e-05,-7.073465387638085e-05,7.250641968324925e-05
1577.4365644306379,-4.9888837761682686e-05,4.0539022145256866e-05,-5.3862179913086945e-05,5.82152081911307e-05
1575.5081578726545,-2.8416378008306616e-05,3.505547939025714e-05,-3.4622784206866465e-05,4.6250027962419035e-05
1573.579751314671,-1.0073827568670879e-05,3.0164707919610547e-05,-1.6152251553265828e-05,3.385049689856906e-05
1571.6513447566876,-6.43635751865773e-06,2.4573457795333946e-05,-8.720224531686734e-06,1.88263481334997e-05
1569.7229381987042,-2.9121318169354213e-05,2.314691484819145e-05,-2.4337691006605076e-05,3.6065513874497995e-05
1567.7945316407208,-3.5271639659789365e-05,2.424849305394043e-05,-2.625170231686592e-05,4.737727729614181e-05
1565.8661250827374,-2.2552785500992535e-05,2.07624357374081e-05,-1.2609146025629142e-05,3.774462050159568e-05
1563.937718524754,4.106731371348898e-06,1.6752649159424357e-05,1.1553106929517706e-05,2.5040820639714312e-05
1562.0093119667706,3.998493588538247e-05,2.5844305467943836e-05,4.3982717762410325e-05,5.5136375548554665e-05
1560.0809054087872,6.49481401171455e-05,3.61093610812313e-05,6.72954416132904e-05,8.059971022644656e-05
1558.1524988508038,7.226471700290345e-05,3.9106349986453875e-05,7.44000046567393e-05,8.622609090893195e-05
1556.2240922928204,6.540343617140512e-05,3.641756897593407e-05,6.986686381737132e-05,7.441160681532515e-05
1554.295685734837,3.920992480266847e-05,3.353825722321142e-05,5.088356803925775e-05,5.671482307165016e-05
1552.3672791768536,1.7400748709697026e-06,3.9939790241366015e-05,2.0041064218775104e-05,7.242671676225197e-05
1550.4388726188702,-9.646361149431845e-06,3.9519756485707706e-05,5.425759203883469e-06,7.23295859545451e-05
1548.5104660608868,-8.568364797824164e-06,3.278278807181872e-05,3.614311373747833e-07,5.6747983904680275e-05
1546.5820595029033,-1.9968980190752203e-06,2.2103465937582186e-05,-6.218518778133207e-08,3.521733506471631e-05
1544.65365294492,3.4048621193871275e-05,2.2314642872908052e-05,2.6121538910631377e-05,5.4490292415772696e-05
1542.7252463869365,7.102052284787537e-05,4.1661181802431026e-05,5.484661832630962e-05,9.851778648800747e-05
1540.7968398289531,9.146877152808679e-05,5.482969678581551e-05,7.171535452730091e-05,0.00012105891933734157
1538.8684332709697,8.785022732013614e-05,5.509192286641634e-05,7.086314520233143e-05,0.00011068833275833954
